"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_14: 0 to 4 years","v_CA21_32: 5 to 9 years","v_CA21_50: 10 to 14 years","v_CA21_71: 15 to 19 years","v_CA21_89: 20 to 24 years","v_CA21_107: 25 to 29 years","v_CA21_125: 30 to 34 years","v_CA21_143: 35 to 39 years","v_CA21_161: 40 to 44 years","v_CA21_179: 45 to 49 years","v_CA21_197: 50 to 54 years","v_CA21_215: 55 to 59 years","v_CA21_233: 60 to 64 years","v_CA21_254: 65 to 69 years","v_CA21_272: 70 to 74 years","v_CA21_290: 75 to 79 years","v_CA21_308: 80 to 84 years","v_CA21_326: 85 years and over","v_CA21_824: Median after-tax income in 2019 among recipients ($)","v_CA21_2207: Official languages"
"159","35240276","DA","35240276",0.2116,486,145,145,"3524001","3524","5350612.03","35535",20,25,45,40,35,30,10,25,25,40,40,40,45,35,15,20,10,5,45200,195
"160","35240277","DA","35240277",0.1153,642,249,236,"3524001","3524","5350612.03","35535",35,35,50,60,50,30,30,30,45,45,55,45,45,40,20,15,10,10,28200,185
"161","35240278","DA","35240278",0.0626,265,81,80,"3524001","3524","5350612.03","35535",0,15,20,30,20,10,5,10,15,15,30,25,10,20,10,10,5,10,38800,105
"162","35240279","DA","35240279",0.141,475,155,154,"3524001","3524","5350612.03","35535",20,25,25,50,40,25,10,25,25,45,40,35,25,25,25,15,10,5,38400,165
"163","35240280","DA","35240280",0.0983,581,188,182,"3524001","3524","5350612.03","35535",20,35,50,65,35,25,20,30,45,70,50,40,30,30,15,5,10,5,38400,165
"164","35240281","DA","35240281",0.1361,562,173,169,"3524001","3524","5350612.03","35535",20,25,40,45,55,30,20,25,30,45,50,60,50,30,20,10,5,5,44000,215
"165","35240282","DA","35240282",0.0871,346,104,102,"3524001","3524","5350612.03","35535",5,10,35,50,30,15,5,10,15,45,40,30,20,20,10,5,0,0,34000,130
"166","35240284","DA","35240284",0.498,1274,528,513,"3524001","3524","5350612.14","35535",50,55,90,105,75,80,75,90,100,105,110,75,100,65,50,25,15,10,36000,430
"167","35240285","DA","35240285",0.3008,593,175,173,"3524001","3524","5350612.14","35535",20,25,55,50,55,30,25,20,35,55,50,50,40,30,20,15,10,10,43200,235
"168","35240286","DA","35240286",0.439,780,247,240,"3524001","3524","5350612.13","35535",30,40,80,60,55,25,15,35,55,75,65,60,60,45,40,15,15,10,46000,320
"169","35240287","DA","35240287",0.1578,606,188,184,"3524001","3524","5350612.13","35535",15,30,65,60,35,20,15,10,40,60,50,50,40,35,35,20,10,5,46000,245
"170","35240288","DA","35240288",0.0952,363,117,115,"3524001","3524","5350612.13","35535",10,25,35,35,20,15,10,15,25,35,25,45,30,10,10,10,5,5,44000,140
"171","35240289","DA","35240289",0.2719,954,465,457,"3524001","3524","5350612.13","35535",40,50,50,65,35,70,70,65,50,90,75,55,55,40,40,40,40,20,40800,320
"172","35240290","DA","35240290",0.1236,572,256,254,"3524001","3524","5350612.13","35535",5,15,25,35,25,25,20,10,25,20,20,30,55,40,50,70,50,55,42400,220
"173","35240291","DA","35240291",0.2353,544,179,178,"3524001","3524","5350612.05","35535",20,40,45,35,30,20,20,20,30,35,55,35,40,35,35,25,5,0,46800,230
"174","35240292","DA","35240292",0.2694,951,305,301,"3524001","3524","5350612.05","35535",30,50,70,55,50,35,30,35,60,65,65,65,80,55,45,25,40,100,46000,355
"175","35240293","DA","35240293",1.2844,716,282,278,"3524001","3524","5350612.05","35535",5,20,45,40,60,25,10,20,30,45,75,60,60,60,75,45,30,10,46400,285
"176","35240297","DA","35240297",0.0868,403,147,146,"3524001","3524","5350612.05","35535",10,20,30,20,25,20,10,25,30,30,30,30,40,30,20,20,5,10,31800,165
"177","35240298","DA","35240298",0.3467,661,216,213,"3524001","3524","5350612.05","35535",15,40,45,55,45,30,15,25,45,50,55,50,50,35,40,30,15,10,56400,285
"178","35240299","DA","35240299",0.2253,600,194,194,"3524001","3524","5350612.05","35535",15,25,50,50,35,20,15,20,40,45,50,45,55,45,50,20,10,5,52000,280
"179","35240301","DA","35240301",0.9905,1084,361,357,"3524001","3524","5350612.14","35535",35,80,60,90,75,45,30,65,80,95,110,100,65,60,30,25,20,10,42400,370
"180","35240302","DA","35240302",0.1603,629,187,185,"3524001","3524","5350612.14","35535",25,45,55,40,40,30,25,30,55,50,55,40,35,50,20,20,10,5,41200,250
"181","35240303","DA","35240303",0.0917,407,126,125,"3524001","3524","5350612.14","35535",10,20,30,50,25,20,20,25,20,35,35,30,30,15,20,10,10,5,37600,115
"182","35240304","DA","35240304",0.1297,488,153,153,"3524001","3524","5350612.13","35535",5,35,40,45,35,15,10,15,35,50,35,30,40,35,30,15,10,0,44400,180
"183","35240305","DA","35240305",0.0737,324,99,99,"3524001","3524","5350612.14","35535",20,20,20,35,15,15,10,15,15,30,25,25,10,20,15,10,5,5,44000,125
"184","35240307","DA","35240307",0.1042,1008,423,415,"3524001","3524","5350612.05","35535",70,85,80,80,65,55,60,65,70,65,80,70,55,35,30,20,15,10,23800,305
"185","35240510","DA","35240510",0.1603,547,188,186,"3524001","3524","5350610.06","35535",30,30,40,30,25,15,20,35,35,40,40,50,35,35,30,25,15,10,48000,220
"186","35240577","DA","35240577",0.6841,627,217,202,"3524001","3524","5350609.00","35535",20,30,50,65,60,25,15,10,30,55,65,65,45,15,30,25,5,20,46400,265
"187","35240578","DA","35240578",0.396,584,197,185,"3524001","3524","5350609.00","35535",30,30,45,65,35,15,15,20,40,50,65,45,35,25,20,20,20,10,44800,240
"188","35240579","DA","35240579",0.4339,511,201,195,"3524001","3524","5350609.00","35535",10,30,40,35,35,15,10,20,25,40,50,35,25,30,20,25,40,35,33200,190
"189","35240580","DA","35240580",0.3265,609,202,193,"3524001","3524","5350609.00","35535",15,25,65,65,50,35,15,20,40,70,60,40,40,25,20,20,5,15,46000,235
"190","35240581","DA","35240581",0.316,612,189,187,"3524001","3524","5350609.00","35535",25,30,55,65,55,20,15,20,35,55,50,65,45,20,20,10,10,10,45600,285
"191","35240582","DA","35240582",0.2216,493,191,185,"3524001","3524","5350610.04","35535",20,30,25,20,40,30,15,25,25,35,45,40,40,30,25,20,10,25,36000,220
"192","35240583","DA","35240583",0.2159,522,189,174,"3524001","3524","5350610.04","35535",30,35,40,35,35,10,15,20,40,45,45,45,35,20,25,15,10,25,46800,230
"193","35240584","DA","35240584",0.3688,669,272,253,"3524001","3524","5350605.00","35535",20,20,35,55,70,35,25,25,30,55,60,60,50,40,40,20,15,25,42000,260
"194","35240585","DA","35240585",0.8123,805,329,314,"3524001","3524","5350605.00","35535",15,15,40,50,55,25,20,15,30,45,50,90,80,65,55,70,45,35,61200,330
"195","35240586","DA","35240586",0.2036,532,231,222,"3524001","3524","5350605.00","35535",20,25,20,15,30,30,30,30,25,30,55,40,45,45,30,20,15,5,40400,230
"196","35240587","DA","35240587",0.1439,538,299,284,"3524001","3524","5350605.00","35535",15,10,5,20,35,35,25,20,15,20,25,45,60,45,60,50,45,25,40800,230
"197","35240588","DA","35240588",0.0729,248,178,146,"3524001","3524","5350603.00","35535",5,5,5,10,0,5,5,10,10,10,10,20,25,45,25,25,15,15,NA,100
"198","35240589","DA","35240589",0.1498,856,519,504,"3524001","3524","5350603.00","35535",20,35,25,25,25,30,40,45,30,40,45,55,45,60,95,95,85,75,24200,210
"199","35240600","DA","35240600",2.1642,1025,392,380,"3524001","3524","5350614.02","35535",55,40,70,65,55,55,75,70,75,60,90,60,80,50,60,45,10,10,40000,390
"200","35240601","DA","35240601",0.6641,1856,966,895,"3524001","3524","5350613.04","35535",55,50,65,100,225,155,120,100,90,80,95,100,120,125,135,95,65,75,25800,615
"201","35240602","DA","35240602",0.7209,870,305,302,"3524001","3524","5350612.05","35535",30,40,65,80,45,30,50,40,60,70,75,60,75,70,40,25,10,5,40400,320
"202","35240604","DA","35240604",0.1181,396,124,123,"3524001","3524","5350612.12","35535",20,30,25,30,35,25,15,25,25,25,50,55,25,5,5,0,5,0,47200,180
"203","35240605","DA","35240605",0.0999,439,139,139,"3524001","3524","5350612.12","35535",10,20,45,40,35,15,15,20,10,45,45,50,35,15,15,10,10,5,43200,180
"204","35240606","DA","35240606",0.0804,369,112,110,"3524001","3524","5350612.12","35535",15,20,25,35,25,20,10,15,25,25,40,40,30,20,0,0,0,5,51200,170
"205","35240607","DA","35240607",0.127,592,196,193,"3524001","3524","5350612.12","35535",30,25,35,55,50,40,30,25,30,40,50,80,35,30,20,10,5,5,40800,210
"206","35240608","DA","35240608",0.0621,321,99,99,"3524001","3524","5350612.12","35535",10,15,25,25,25,15,10,15,20,25,25,40,25,15,0,10,5,5,48000,130
"207","35240609","DA","35240609",0.1117,439,130,129,"3524001","3524","5350612.12","35535",20,20,20,50,40,20,20,20,25,30,60,55,25,10,5,0,5,0,41200,195
"208","35240610","DA","35240610",0.1707,409,127,126,"3524001","3524","5350612.27","35535",20,15,25,30,30,30,15,30,20,30,25,40,45,20,15,10,5,5,45600,165
"209","35240611","DA","35240611",0.2353,1051,333,332,"3524001","3524","5350612.27","35535",60,85,90,85,60,50,70,95,70,85,90,85,35,30,15,10,10,10,50400,365
"210","35240612","DA","35240612",0.0674,349,110,109,"3524001","3524","5350612.27","35535",15,15,25,25,25,15,15,20,25,30,35,35,20,20,10,10,5,5,43600,120
"211","35240613","DA","35240613",0.2169,469,145,143,"3524001","3524","5350612.27","35535",20,35,40,40,45,20,15,20,40,40,40,45,30,15,15,5,0,0,48800,180
"212","35240614","DA","35240614",0.1672,369,111,110,"3524001","3524","5350612.27","35535",10,25,40,25,30,20,15,15,30,30,20,35,30,15,5,10,10,5,42400,155
"213","35240615","DA","35240615",0.2346,924,322,317,"3524001","3524","5350613.03","35535",55,30,60,65,70,65,55,55,65,65,65,65,65,65,30,25,15,5,38800,325
"214","35240616","DA","35240616",0.2355,565,183,183,"3524001","3524","5350600.02","35535",25,30,40,40,35,25,25,40,20,50,55,45,50,30,20,15,10,10,44000,205
"215","35240619","DA","35240619",1.2597,1269,411,404,"3524001","3524","5350612.11","35535",45,60,100,130,95,50,40,50,50,130,135,130,90,55,55,35,15,5,50000,495
"216","35240620","DA","35240620",0.1717,381,117,116,"3524001","3524","5350612.11","35535",10,15,35,35,25,5,10,15,35,30,35,35,30,25,25,5,5,5,47200,160
"217","35240688","DA","35240688",0.1401,1190,379,368,"3524001","3524","5350612.22","35535",75,115,145,90,60,35,55,105,145,135,85,45,25,20,20,10,5,5,39200,340
"218","35240689","DA","35240689",0.0943,779,230,229,"3524001","3524","5350612.23","35535",45,60,80,75,30,30,45,55,65,90,70,35,25,15,10,15,10,5,43600,275
"219","35240691","DA","35240691",0.2696,1138,389,374,"3524001","3524","5350612.23","35535",45,60,65,75,55,50,35,60,80,80,80,55,45,20,30,50,55,185,44800,350
"220","35240695","DA","35240695",0.074,612,210,207,"3524001","3524","5350612.21","35535",35,45,55,50,30,10,25,55,55,75,65,35,25,15,20,5,5,0,44800,205
"221","35240696","DA","35240696",0.2295,775,210,209,"3524001","3524","5350612.21","35535",30,45,85,95,70,30,20,40,45,90,85,65,20,15,10,10,10,5,43600,275
"222","35240697","DA","35240697",0.2133,938,304,301,"3524001","3524","5350612.21","35535",50,55,100,80,50,40,35,60,75,110,80,75,45,30,25,15,15,5,44800,310
"223","35240698","DA","35240698",0.2319,1127,357,356,"3524001","3524","5350612.20","35535",45,75,90,125,65,40,50,80,75,110,110,85,40,45,30,20,15,15,43200,385
"224","35240699","DA","35240699",0.1922,990,294,294,"3524001","3524","5350612.18","35535",40,60,100,110,65,30,40,60,75,110,110,65,55,25,15,10,15,0,46000,340
"225","35240700","DA","35240700",0.0984,590,183,182,"3524001","3524","5350612.19","35535",35,55,50,55,30,15,20,40,45,55,60,45,30,20,20,10,5,0,44000,195
"226","35240701","DA","35240701",0.0953,563,162,160,"3524001","3524","5350612.19","35535",15,30,50,65,50,25,15,20,50,50,80,55,25,20,5,10,5,0,47200,225
"227","35240705","DA","35240705",0.1924,685,226,224,"3524001","3524","5350612.19","35535",30,40,60,40,50,40,25,55,55,60,45,60,40,35,20,15,15,10,43200,235
"228","35240706","DA","35240706",0.1277,606,205,200,"3524001","3524","5350612.19","35535",20,35,45,65,40,20,25,50,45,55,60,50,30,25,20,10,5,0,36800,205
"229","35240707","DA","35240707",0.1768,722,216,210,"3524001","3524","5350612.20","35535",35,50,55,60,55,35,25,50,60,70,80,55,45,20,10,10,5,10,40400,230
"230","35240708","DA","35240708",0.2033,760,210,209,"3524001","3524","5350612.20","35535",20,40,70,105,75,25,10,25,55,100,80,65,40,25,15,10,10,5,44000,285
"231","35240709","DA","35240709",0.1883,681,222,220,"3524001","3524","5350612.20","35535",20,35,55,70,45,25,20,25,40,65,70,80,45,25,20,25,20,10,48400,250
"232","35240710","DA","35240710",0.1798,581,189,187,"3524001","3524","5350612.20","35535",25,25,35,45,40,25,35,25,30,40,60,60,50,25,20,15,5,10,38000,195
"233","35240711","DA","35240711",0.1415,670,206,205,"3524001","3524","5350612.23","35535",30,40,50,70,55,30,30,35,45,60,90,60,25,15,20,10,10,0,44000,235
"234","35240712","DA","35240712",0.0971,511,163,160,"3524001","3524","5350612.23","35535",20,25,50,45,30,20,30,35,35,50,55,40,30,20,10,10,0,0,45200,180
"235","35240713","DA","35240713",0.4946,869,267,263,"3524001","3524","5350612.18","35535",35,60,85,90,60,30,40,30,60,90,90,75,45,25,20,15,5,0,47200,315
"236","35240714","DA","35240714",0.1028,563,176,175,"3524001","3524","5350612.18","35535",20,50,60,50,35,10,15,35,60,80,55,35,20,10,20,10,10,5,51600,210
"237","35240715","DA","35240715",0.166,898,311,304,"3524001","3524","5350612.18","35535",35,65,85,80,50,45,55,75,85,95,75,45,50,25,15,10,10,5,38800,295
"238","35240716","DA","35240716",0.2302,762,188,188,"3524001","3524","5350612.18","35535",25,30,65,65,35,30,25,30,50,70,65,55,35,30,20,20,30,80,44400,270
"239","35240760","DA","35240760",4.2032,44,20,17,"3524001","3524","5350612.10","35535",0,0,0,5,5,5,0,0,0,5,0,5,10,5,0,0,0,0,NA,20
"240","35240761","DA","35240761",0.3946,328,106,104,"3524001","3524","5350612.18","35535",10,15,15,35,25,15,5,5,15,25,25,40,15,15,20,15,5,5,49200,140
"241","35240762","DA","35240762",0.3542,524,153,153,"3524001","3524","5350612.19","35535",15,30,40,55,40,30,20,20,25,50,50,50,50,20,10,10,5,0,50000,205
"242","35240765","DA","35240765",0.0703,431,132,129,"3524001","3524","5350612.20","35535",20,35,30,45,25,15,15,40,35,35,55,30,20,10,10,10,5,0,48800,155
"243","35240766","DA","35240766",0.1502,1040,372,368,"3524001","3524","5350612.19","35535",75,75,60,55,55,45,55,90,85,85,75,80,65,35,35,25,20,15,42400,340
"244","35240767","DA","35240767",0.2171,823,250,246,"3524001","3524","5350612.11","35535",30,60,65,60,60,40,35,50,60,85,75,80,50,20,20,5,5,10,38000,305
"245","35240768","DA","35240768",0.1497,492,137,136,"3524001","3524","5350612.11","35535",20,25,45,60,50,20,10,25,25,50,70,50,20,15,5,0,5,0,51600,205
"246","35240769","DA","35240769",0.0861,454,134,132,"3524001","3524","5350612.11","35535",15,30,50,60,35,15,10,20,30,60,60,35,15,15,5,0,5,5,47600,175
"247","35240770","DA","35240770",1.0685,1162,306,302,"3524001","3524","5350612.28","35535",40,70,115,145,85,50,25,35,85,110,140,80,60,45,30,15,15,15,44400,420
"248","35240771","DA","35240771",0.1581,778,221,215,"3524001","3524","5350612.29","35535",40,65,95,85,40,30,25,45,75,85,80,35,25,15,20,15,5,5,38000,210
"249","35240772","DA","35240772",0.2587,876,228,225,"3524001","3524","5350612.28","35535",25,50,100,115,75,35,25,25,45,95,105,80,30,20,25,10,10,0,41600,305
"250","35240773","DA","35240773",0.1773,954,236,232,"3524001","3524","5350612.29","35535",20,75,115,130,70,35,20,40,65,110,105,55,35,25,15,15,15,5,42800,330
"251","35240774","DA","35240774",0.2762,917,276,272,"3524001","3524","5350612.28","35535",20,50,90,110,65,35,25,40,55,85,95,80,60,30,20,15,15,15,40400,300
"252","35240776","DA","35240776",0.1969,1655,717,682,"3524001","3524","5350612.29","35535",55,70,125,140,100,75,80,75,120,155,150,100,85,85,100,70,40,25,34400,490
"253","35240777","DA","35240777",0.1902,784,217,214,"3524001","3524","5350612.25","35535",25,50,75,90,65,35,15,25,55,85,105,55,35,20,15,20,15,10,40800,255
"254","35240779","DA","35240779",0.4706,865,250,244,"3524001","3524","5350612.25","35535",20,40,65,90,90,45,15,25,50,75,100,85,70,40,20,10,15,5,40400,310
"255","35240786","DA","35240786",0.6738,2067,1156,925,"3524001","3524","5350612.26","35535",180,170,100,70,70,180,310,335,200,125,80,50,50,40,45,25,10,10,38800,610
"256","35240787","DA","35240787",0.2197,1627,688,649,"3524001","3524","5350612.26","35535",60,65,65,50,50,105,155,150,105,85,75,75,75,55,70,80,85,225,42800,520
"257","35240788","DA","35240788",0.0734,654,230,226,"3524001","3524","5350612.26","35535",40,55,45,55,40,25,45,50,55,75,65,50,25,15,15,5,0,0,47200,235
"258","35240789","DA","35240789",0.0851,1464,756,732,"3524001","3524","5350612.26","35535",65,75,65,65,70,70,145,115,105,90,135,125,80,65,70,60,35,30,41200,495
"259","35240790","DA","35240790",0.0752,561,226,222,"3524001","3524","5350612.26","35535",35,30,35,40,30,35,40,40,35,45,45,45,25,25,25,10,15,10,49600,190
"260","35240816","DA","35240816",0.3146,524,206,203,"3524001","3524","5350612.08","35535",25,30,30,30,35,25,30,40,40,45,50,35,35,20,20,5,10,5,40400,155
"261","35240817","DA","35240817",0.1466,651,170,166,"3524001","3524","5350612.08","35535",10,25,40,55,45,25,20,15,45,55,55,35,30,25,10,15,40,105,37200,165
"262","35240818","DA","35240818",0.1041,542,151,149,"3524001","3524","5350612.08","35535",20,30,35,50,50,35,15,30,30,50,60,45,35,10,10,10,5,5,34400,160
"263","35240819","DA","35240819",0.2803,913,296,291,"3524001","3524","5350612.08","35535",30,70,80,70,65,45,35,55,75,80,75,80,60,50,25,15,15,5,44000,285
"264","35240820","DA","35240820",0.1368,638,214,212,"3524001","3524","5350612.08","35535",35,50,65,55,45,30,30,40,55,40,45,45,35,15,15,10,5,5,29800,200
"265","35240849","DA","35240849",0.1209,870,240,231,"3524001","3524","5350612.22","35535",45,90,115,70,45,25,25,55,100,110,65,45,25,15,15,20,5,5,40800,305
"266","35240850","DA","35240850",0.2362,1022,283,281,"3524001","3524","5350612.21","35535",25,75,95,135,85,30,20,55,70,125,110,70,40,30,20,15,10,5,43600,370
"267","35240851","DA","35240851",0.1143,652,180,179,"3524001","3524","5350612.21","35535",25,35,70,85,50,20,10,25,45,90,80,45,30,20,10,10,0,0,47200,250
"268","35240852","DA","35240852",0.1054,619,197,196,"3524001","3524","5350612.23","35535",25,35,50,65,30,20,40,45,45,60,60,60,35,25,15,0,10,5,43200,200
"269","35240853","DA","35240853",0.507,873,231,229,"3524001","3524","5350612.23","35535",20,55,85,105,85,30,15,30,55,95,100,80,40,20,15,20,15,10,42400,340
"270","35240854","DA","35240854",0.1285,610,167,167,"3524001","3524","5350612.22","35535",15,45,65,80,40,25,20,20,40,85,90,35,30,10,10,5,5,0,50000,215
"271","35240855","DA","35240855",0.1366,1001,269,268,"3524001","3524","5350612.22","35535",60,80,135,115,50,20,30,55,95,135,90,45,30,25,10,10,5,5,50000,380
"272","35240857","DA","35240857",0.0799,503,152,149,"3524001","3524","5350612.22","35535",25,25,60,60,35,10,20,20,35,60,45,45,10,15,20,10,10,5,41200,185
"273","35240858","DA","35240858",0.1275,367,106,105,"3524001","3524","5350612.23","35535",5,35,50,40,25,15,5,20,35,60,30,25,5,10,10,0,5,0,47200,140
"274","35240859","DA","35240859",0.12,723,193,192,"3524001","3524","5350612.29","35535",20,55,100,85,45,30,20,25,80,95,65,30,25,5,20,10,5,5,46000,210
"275","35240861","DA","35240861",0.1902,1086,291,289,"3524001","3524","5350612.25","35535",25,70,120,150,80,40,35,35,80,125,135,70,45,25,15,20,15,5,37200,335
"276","35240952","DA","35240952",27.3068,1255,556,420,"3524001","3524","5350615.00","35535",90,95,95,85,70,70,115,140,90,95,75,80,60,40,25,15,15,5,36000,390
"277","35240953","DA","35240953",5.6372,967,282,270,"3524001","3524","5350615.00","35535",65,85,80,65,55,45,70,95,75,75,75,65,30,25,20,20,5,5,34800,245
"278","35240954","DA","35240954",0.2283,995,347,332,"3524001","3524","5350615.00","35535",120,75,65,35,45,80,145,125,85,55,50,45,35,20,10,5,5,0,41200,280
"279","35240955","DA","35240955",0.1346,915,253,244,"3524001","3524","5350615.00","35535",80,65,90,70,55,60,55,105,100,70,45,40,25,25,15,10,5,5,28800,240
"280","35240956","DA","35240956",0.149,554,233,220,"3524001","3524","5350615.00","35535",55,40,25,20,20,60,85,75,60,35,30,25,15,10,5,5,5,0,47600,165
"281","35240957","DA","35240957",1.782,1701,532,484,"3524001","3524","5350615.00","35535",145,160,165,100,85,95,150,190,200,90,125,70,60,40,25,15,5,0,45600,455
"282","35240958","DA","35240958",0.1683,733,228,215,"3524001","3524","5350615.00","35535",65,75,65,50,25,45,55,80,85,60,45,30,25,10,15,10,0,0,46400,180
"283","35240959","DA","35240959",0.1338,666,196,187,"3524001","3524","5350615.00","35535",55,70,60,40,40,10,40,65,80,60,45,30,20,20,10,10,10,0,43200,180
"284","35240960","DA","35240960",0.0827,1004,445,418,"3524001","3524","5350615.00","35535",110,60,40,30,40,105,160,135,80,50,45,40,30,25,20,20,10,0,37200,300
"285","35240961","DA","35240961",0.2593,1419,526,497,"3524001","3524","5350615.00","35535",105,120,90,75,85,125,165,155,105,105,80,50,30,40,40,25,5,5,34800,335
"286","35240962","DA","35240962",2.4456,1248,447,380,"3524001","3524","5350615.00","35535",55,105,125,110,75,55,35,80,115,115,100,65,30,25,20,30,30,75,40000,380
"287","35240963","DA","35240963",0.2491,1682,476,461,"3524001","3524","5350615.00","35535",125,155,160,125,95,75,120,155,170,145,115,85,55,40,25,20,10,5,44000,470
"288","35240964","DA","35240964",0.1661,1042,298,284,"3524001","3524","5350615.00","35535",100,105,100,70,50,35,90,120,115,90,50,40,20,15,10,10,0,5,48400,305
"289","35240965","DA","35240965",0.2678,1866,502,493,"3524001","3524","5350615.00","35535",145,190,170,140,120,65,120,160,190,160,130,95,60,20,30,25,15,10,43600,525
"290","35240966","DA","35240966",0.2821,1061,364,339,"3524001","3524","5350615.00","35535",95,115,85,65,40,70,95,130,110,95,55,30,35,15,15,5,0,0,38400,340
"291","35240967","DA","35240967",0.2162,1381,499,481,"3524001","3524","5350615.00","35535",115,120,105,85,50,75,140,170,145,105,80,55,40,35,20,30,10,0,41600,420
"292","35240968","DA","35240968",0.4234,1383,420,407,"3524001","3524","5350615.00","35535",120,130,130,120,70,60,100,130,145,120,95,55,40,30,20,15,5,5,37200,380
"293","35240969","DA","35240969",0.1195,841,221,215,"3524001","3524","5350615.00","35535",40,85,95,80,50,20,35,55,90,85,60,60,30,15,15,15,0,0,46000,265
"294","35240970","DA","35240970",0.0814,604,186,179,"3524001","3524","5350615.00","35535",40,75,65,35,25,10,25,55,70,60,50,30,15,15,10,5,10,0,44800,190
"295","35240978","DA","35240978",0.1404,1066,586,548,"3524001","3524","5350612.15","35535",60,60,60,40,45,135,165,135,85,60,55,45,35,25,15,25,15,0,42000,350
"296","35240979","DA","35240979",0.2115,1065,322,315,"3524001","3524","5350612.15","35535",35,95,130,100,75,40,45,65,90,130,95,60,35,20,20,10,15,10,40800,350
"297","35240980","DA","35240980",0.5517,1297,402,396,"3524001","3524","5350612.15","35535",60,80,105,90,60,35,45,70,85,110,130,75,95,65,45,30,25,95,53200,475
"298","35240981","DA","35240981",0.0945,409,114,113,"3524001","3524","5350612.15","35535",10,25,60,35,25,10,10,10,35,50,45,25,15,15,15,10,5,0,45200,150
"299","35240982","DA","35240982",0.8636,1594,482,475,"3524001","3524","5350612.15","35535",60,150,185,135,80,55,50,75,170,195,145,90,75,50,30,25,20,15,50800,560
"300","35240983","DA","35240983",0.3474,1034,317,315,"3524001","3524","5350612.15","35535",45,65,120,100,75,30,25,75,85,110,95,80,30,35,30,20,5,5,46800,360
"301","35240984","DA","35240984",0.0946,495,169,168,"3524001","3524","5350612.15","35535",15,35,50,30,20,10,10,25,40,60,30,35,30,40,20,15,5,10,52400,165
"302","35240985","DA","35240985",1.7478,1029,317,315,"3524001","3524","5350612.15","35535",25,60,95,115,80,30,25,30,65,120,130,65,50,45,55,15,10,10,50000,395
"303","35240986","DA","35240986",0.3518,1459,507,496,"3524001","3524","5350612.22","35535",110,120,140,95,70,60,125,170,180,140,90,65,25,25,20,10,5,5,43200,440
"304","35240987","DA","35240987",0.2718,1184,300,298,"3524001","3524","5350612.22","35535",30,80,140,160,100,35,30,40,85,155,130,70,45,35,20,10,15,10,42400,435
"305","35240988","DA","35240988",0.2103,1400,466,459,"3524001","3524","5350612.22","35535",95,135,125,120,65,55,95,140,160,140,105,50,45,25,20,15,10,5,44400,460
"306","35241030","DA","35241030",1.1646,2893,912,902,"3524001","3524","5350610.05","35535",105,200,290,285,155,85,70,125,235,345,280,230,175,120,95,50,20,20,48800,1155
"307","35241031","DA","35241031",0.7369,2578,873,851,"3524001","3524","5350610.06","35535",105,140,190,230,160,120,115,145,195,235,260,240,135,105,80,65,35,20,44400,920
"308","35241034","DA","35241034",0.2062,1289,387,382,"3524001","3524","5350612.21","35535",80,125,140,110,60,50,70,110,130,130,110,65,35,25,30,10,5,0,46000,420
"309","35241035","DA","35241035",0.1339,756,229,225,"3524001","3524","5350612.21","35535",45,80,85,70,40,25,40,80,80,60,60,30,15,15,10,5,0,0,36000,205
"310","35241036","DA","35241036",0.149,878,216,215,"3524001","3524","5350612.21","35535",35,55,105,115,70,30,20,30,65,110,100,55,25,15,15,15,10,0,44000,335
"311","35241045","DA","35241045",0.1356,418,159,158,"3524001","3524","5350610.05","35535",20,25,25,30,15,25,20,25,25,25,30,45,30,35,15,15,10,5,43200,195
"312","35241046","DA","35241046",0.5295,1109,486,475,"3524001","3524","5350610.06","35535",20,35,35,60,75,30,30,30,50,50,100,110,125,110,95,70,45,30,50000,465
